produk,jumlah,tahun
Avtur,422909400,2014
Premium,2970700200,2014
M. Bakar,188404000,2014
M. Tanah,971434,2014
M. Solar,3267323000,2014
M. Bensin 92,106292000,2014
M. Diesel,6087,2014
Avgas,1499,2014
M. Bensin 95,154888,2014
M. Bakar,197390300,2013
M. Solar,2404772100,2013
M. Tanah,126049000,2013
M. Bensin 100,4100,2013
M. Bensin 95,158714,2013
M. Bensin 92,850408,2013
Premium,2950177300,2013
Avtur,415901000,2013
M. Diesel,79137,2013
Avgas,2868,2013
Avgas,26064,2012
M. Tanah,138246859,2012
M. Solar,3420975715,2012
M. Diesel,9159975,2012
M. Bakar,342887464,2012
M. Bensin 100,4702,2012
Avtur,389883227,2012
M. Bensin 88,2845998474,2012
M. Bensin 95,14937698,2012
M. Bensin 92,66646075,2012
"PERTAMINA DEX, BULK",1872,2011
"PERTAMINA DEX, BULK",47200,2011
"PERTAMINA DEX, BULK",3392,2011
"PERTAMINA DEX R-20,REFILL JERIGEN 20 L",3700,2011
"PERTAMINA DEX R-10,REFILL JERIGEN 10 L",16033,2011
Pertamax Plus,62900,2011
"PERTAMINA DEX,CAN 10 L",33937,2011
"PERTAMINA DEX,CAN 20 L",2156,2011
"PERTAMINA DEX,CAN 20 L",9774,2011
M. Bensin 92,102439,2011
M. Bensin 95,26127,2011
M. Solar,397100600,2011
M. Diesel,5564,2011
M. Bakar,109286,2011
Pertamax Plus,5300,2011
M. Bensin 88,2286,2011
Premium,2545261479,2011
Diesel Oil/IDO/MDF,1508981,2011
Diesel Oil/IDO/MDF,21,2011
Diesel Oil/IDO/MDF,3053,2011
M. Solar,450600255,2011
M. Solar,170658958,2011
M. Solar,789934286,2011
M. Solar,25838522,2011
M. Solar,3192264,2011
M. Solar,741908774,2011
Kerosene,1032945,2011
Kerosene,349714,2011
Kerosene,280335,2011
Kerosene,193676510,2011
Kerosene,7000,2011
Premium,11786131,2011
Premium,1319684,2011
Premium,17670761,2011
Diesel Oil/IDO/MDF,3136533,2011
MFO 380,820708,2011
Biosolar,712996012,2011
Biosolar,46885,2011
Biosolar,180101,2011
Biosolar,216,2011
Pertamax,5531965,2011
Pertamax,1063,2011
Pertamax,64900,2011
Pertamax,36214,2011
Pertamax Plus,101635,2011
MFO 380,20230366,2011
Fuel Oil/DCO/IFO/MFO,60823117,2011
Fuel Oil/DCO/IFO/MFO,25039098,2011
Fuel Oil/DCO/IFO/MFO,252870937,2011
Fuel Oil/DCO/IFO/MFO,19675993,2011
Diesel Oil/IDO/MDF,7641637,2011
M. Solar,2974369375,2010
Pertamax Plus,89175651,2010
Premium,2464392183,2010
M. Bakar,364023910,2010
M. Diesel,42322376,2010
M. Tanah,284424542,2010
Avtur,276067800,2009
M. Solar,245129,2009
M. Diesel,15927,2009
M. Diesel,115361,2009
M. Diesel,12298,2009
M. Diesel,1605,2009
M. Solar,828003800,2009
M. Solar,993908600,2009
Kerosene,3217,2009
Kerosene,200,2009
Kerosene,34057,2009
Kerosene,474254200,2009
Premium,209497,2009
Premium,103249,2009
Premium,2102256700,2009
M. Bakar,260769,2009
M. Bakar,116076600,2009
M. Bensin 92,20232,2009
M. Bensin 88,105816,2009
Biosolar,14000,2009
Biosolar,65986,2009
Biosolar,233050000,2009
Pertamina Dex (ALFO),31200,2009
Pertamina Dex (ALFO),1941,2009
Pertamax,75900,2009
Pertamax,4153,2009
Pertamax,571623,2009
Pertamax Plus,36200,2009
Pertamax Plus,14195,2009
Avgas,1687,2009
M. Bakar,305902800,2009
M. Solar,582658800,2009
Biosolar,1507,2009
M. Diesel,21493,2008
M. Solar,213602,2008
M. Solar,787484200,2008
M. Solar,545820000,2008
M. Solar,1108028800,2008
Kerosene,4096,2008
Kerosene,36061,2008
Kerosene,786125400,2008
Kerosene,18400,2008
Premium,106526,2008
Premium,4105,2008
Premium,1955149400,2008
M. Diesel,3117,2008
M. Diesel,118991,2008
M. Diesel,27578,2008
M. Bensin 92,162,2008
Biosolar,7945,2008
Biosolar,72300,2008
M. Bensin 92,44016,2008
Biosolar,88100,2008
Pertamax,27900,2008
Pertamax,4616,2008
Pertamax,234439,2008
M. Bakar,309909,2008
Biosolar,40626,2008
M. Bakar,117400900,2008
M. Bakar,328067800,2008
Pertamax Plus,8899,2008
Pertamax Plus,1033,2008
M. Tanah,1023695400,2007
M. Diesel,267592,2007
M. Bakar,498374100,2007
Avtur,250435300,2007
M. Solar,2547278100,2007
Avgas,214,2007
Pertamax Plus,135193,2007
Vacuum Residue (LSFO),0,2007
Pertamina Dex (ALFO),1288,2007
Biosolar,127601100,2007
MFO 380,54504,2007
Premium,1817866600,2007
Bio Pertamax,746,2007
Pertamax,392159,2007
MFO 380,1624,2006
Avgas,339,2006
Premium,1706960000,2006
M. Tanah,1003205100,2006
M. Diesel,569369,2006
M. Solar,2520392300,2006
M. Bakar,497654800,2006
Avtur,242807800,2006
Pertamax Plus,128289,2006
Pertamax,366827,2006
Pertamina Dex (ALFO),1344,2006
Biosolar,217048,2006
Bio Pertamax,1600,2006
