tahun,mobil_penumpang,bis,truk,sepeda_motor,jumlah
1987,1170103,303378,953694,5554305,7981480
1988,1073106,385731,892651,5419531,7771019
1989,1182253,434903,952391,5722291,8291838
1990,1313210,468550,1024296,6082966,8889022
1991,1494607,504720,1087940,6494871,9582138
1992,1590750,539943,1126262,6941000,10197955
1993,1700454,568490,1160539,7355114,10784597
1994,1890340,651608,1251986,8134903,11928837
1995,2107299,688525,1336177,9076831,13208832
1996,2409088,595419,1434783,10090805,14530095
1997,2639523,611402,1548397,11735797,16535119
1998,2769375,626680,1586721,12628991,17611767
1999,2897803,644667,1628531,13053148,18224149
2000,3038913,666280,1707134,13563017,18975344
2001,3189319,680550,1777293,15275073,20922235
2002,3403433,714222,1865398,17002130,22985183
2003,3792510,798079,2047022,19976376,26613987
2004,4231901,933251,2315781,23061021,30541954
2005,5076230,1110255,2875116,28531831,37623432
2006,6035291,1350047,3398956,32528758,43313052
2007,6877229,1736087,4234236,41955128,54802680
2008,7489852,2059187,4452343,47683681,61685063
2009,7910407,2160973,4498171,52767093,67336644
2010,8891041,2250109,4687789,61078188,76907127
2011,9548866,2254406,4958738,68839341,85601351
2012,10432259,2273821,5286061,76381183,94373324
2013,11484514,2286309,5615494,84732652,104118969
